Date,LogPNL,NAV,Drawdown,ExpCut
2010-12-03,0.0026566098860092424,138505.7482981903,-0.010265355657302466,1.0
2010-12-06,0.007205650476303838,139507.3766675292,-0.0031079177164821115,1.0
2010-12-07,0.0007846047935187173,139616.87777592358,-0.002325444484118311,1.0
2010-12-08,0.0025689309938234928,139976.0049895157,0.0,1.0
2010-12-09,0.0031395086496814884,140416.15142817804,0.0,1.0
2010-12-10,-0.00022826354615546052,140384.1031973761,-0.00022823749601441623,1.0
2010-12-13,-0.003660417566905494,139871.17809265887,-0.003881129983810405,1.0
2010-12-14,-0.0046976991759652975,139215.64632565563,-0.008549622606174756,1.0
2010-12-15,-0.001671668824184458,138983.11827894708,-0.010205614771915728,1.0
2010-12-16,0.0021078835848360455,139276.3874926302,-0.008117042975151145,1.0
2010-12-17,-0.0028600756463337262,138878.61558866972,-0.010949850311876341,1.0
2010-12-20,0.008575756555479153,140074.72623305532,-0.0024315236648353444,1.0
2010-12-21,0.006171013756417487,140941.80191191664,0.0,1.0
2010-12-22,0.0016585898411278777,141175.7605198097,0.0,1.0
2010-12-23,-0.0004751048280420278,141108.70316528203,-0.00047499198361511397,1.0
2010-12-27,0.0025356031091625653,141466.9528292981,0.0,1.0
2010-12-28,-0.004012219405389317,140900.49351536142,-0.004004181207042712,1.0
2010-12-29,0.001001503736241638,141041.67657193402,-0.0030061880096988736,1.0
2010-12-30,0.0035445599886774204,141542.4943203711,0.0,1.0
2010-12-31,0.0012261537389948174,141716.15362375337,0.0,1.0
2011-01-03,-0.0018395884198580958,141455.69387146385,-0.001837897414158074,1.0
2011-01-04,4.8421705460377495e-05,141462.54356324376,-0.0017895635326297121,1.0
2011-01-05,0.0031193342463868845,141904.5014688135,0.0,1.0
2011-01-06,0.0007398883993836591,142009.53381458618,0.0,1.0
2011-01-07,0.0006320982544405496,142099.32616882978,0.0,1.0
2011-01-10,0.0019439575247881535,142375.82989187457,0.0,1.0
2011-01-11,0.00863156891848238,143610.075756022,0.0,1.0
2011-01-12,0.016420962292646557,145987.75989776524,0.0,1.0
2011-01-13,0.002402777230908093,146338.95771933818,0.0,1.0
2011-01-14,0.008334118252881773,147563.66021696886,0.0,1.0
2011-01-18,0.005331438120180998,148352.48766408025,0.0,1.0
2011-01-19,-0.01217213944810247,146557.6660663021,-0.012098358618982008,1.0
2011-01-20,-0.0005335052441335364,146479.4976363755,-0.012625268758187702,1.0
2011-01-21,-0.005764971388773077,145637.4769680286,-0.018301079670462572,1.0
2011-01-24,0.007460154186674117,146728.0177450072,-0.010950068614632102,1.0
2011-01-25,-0.00014295941308706261,146707.04309300464,-0.011091452506016952,1.0
2011-01-26,0.004826342903851533,147416.81300812156,-0.00630710459050321,1.0
2011-01-27,0.0024757033788578298,147782.225449957,-0.0038439679920603265,1.0
2011-01-28,-0.024133817971306648,144258.36920901018,-0.02759723493373789,1.0
2011-01-31,-0.000490677564222608,144187.60222709298,-0.02807425411306863,1.0
2011-02-01,0.009071770549520686,145501.59015765952,-0.019217052247051725,1.0
